"TOA5","Esolmet_CR6_IP","CR6","9884","CR6.Std.12.01","CPU:20230531_Esolmet_CR6.CR6","58573","Table3_1min"
"TIMESTAMP","RECORD","BattV","PTemp_C","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","I_uv_Avg","Indice_UV_1","Indice_UV_2","I_UVA_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"TS","RN","Volts","Deg C","W/m2","W/m2","W/m2","W/m2","W/m2","I-UV","MED/hr","W/m2","Deg C","Deg C","Deg C","Deg C","%","%","%","meters/second","meters/second","meters/second","meters/second","degrees","mbar","mm"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Max","Min","Std","Smp","Max","Min","Avg","Max","Min","Std","Smp","Avg","Tot"
"2023-05-31 18:59:00",0,10.64,30.37,9.66,21.71,7.391,6.752,0,0.018,0.008,0.367,27.78,27.78,27.77,0.002,60.18,60.18,60.1,0,0,0,0,336.6,641.4001,0
"2023-05-31 19:00:00",1,10.65,30.33,9.26,0,7.02,6.398,0,0.017,0.007,0.342,27.73,27.74,27.72,0.006,60.46,60.46,60.13,0,0,0,0,344.7,641.4001,0
"2023-05-31 19:01:00",2,10.66,30.3,8.83,2.945,6.603,5.985,0,0.018,0.008,0.314,27.71,27.72,27.71,0.006,60.42,60.42,60.35,0,0,0,0,319.1,641.3997,0
"2023-05-31 19:02:00",3,10.66,30.26,8.46,3.643,6.262,5.59,0,0.018,0.008,0.293,27.69,27.7,27.68,0.009,60.81,60.81,60.52,0,0,0,0,322.8,641.4001,0
"2023-05-31 19:03:00",4,10.65,30.22,8.02,7.574,5.952,5.082,0,0.016,0.007,0.274,27.65,27.66,27.64,0.014,60.45,60.63,60.45,0,0,0,0,346.9,641.3999,0
"2023-05-31 19:04:00",5,10.65,30.19,7.691,11.09,5.771,4.784,0,0.015,0.007,0.25,27.62,27.63,27.62,0.001,60.66,60.93,60.66,0,0,0,0,331.6,641.3998,0
"2023-05-31 19:05:00",6,10.65,30.15,7.507,14.83,5.642,4.56,0,0.015,0.006,0.228,27.59,27.6,27.57,0.013,61.19,61.19,61.02,0,0,0,0,336.8,641.3998,0
"2023-05-31 19:06:00",7,10.65,30.12,7.568,3.816,5.653,4.547,0,0.015,0.007,0.211,27.53,27.53,27.52,0.005,61.29,61.29,61.08,0,0,0,0,334.4,641.4005,0
"2023-05-31 19:07:00",8,10.65,30.08,7.638,7.323,5.774,4.691,0,0.015,0.007,0.195,27.54,27.54,27.53,0.005,61.1,61.1,60.75,0,0,0,0,316.3,641.4,0
"2023-05-31 19:08:00",9,10.66,30.05,7.777,0,5.98,4.888,0,0.014,0.006,0.178,27.53,27.53,27.53,0.002,61.09,61.21,61.09,0,0,0,0,326.5,641.3995,0
"2023-05-31 19:09:00",10,10.65,30.02,8.17,3.627,6.382,5.166,0,0.013,0.005,0.16,27.5,27.5,27.5,0,61.05,61.05,61.05,0,0,0,0,326.3,641.4002,0
"2023-05-31 19:10:00",11,10.65,29.99,8.34,0,6.704,5.42,0,0.014,0.006,0.151,27.53,27.53,27.52,0.007,60.98,60.98,60.79,0,0,0,0,325.8,641.4002,0
"2023-05-31 19:11:00",12,10.65,29.95,8.9,7.201,7.227,5.955,0,0.013,0.006,0.139,27.53,27.54,27.51,0.012,60.4,60.76,60.4,0,0,0,0,317.4,641.4007,0
